Pair,Volume,TVL,AZERO Pooled,AZERO Value (USD),Token Pooled,Token Value (USD)
IOU,393.29,44838.35,43865.33,22419.18,147885356.87,22419.18
BALD,3.81,19852.25,19421.44,9926.12,2603943572.6,9926.12
ImUn,4.62,1747.45,1709.52,873.72,92253813.16,873.72
NUKO,6.53,10105.67,9886.37,5052.84,432751676429251.3,5052.84
KEBAB,3.95,2554.26,2498.82,1277.13,226401069.84,1277.13
BALDA,0.0,5553.08,5432.57,2776.54,1180252001.71,2776.54
SC,0.0,1029.72,1007.37,514.86,807905016.74,514.86
SHIT,79.94,2785.23,2724.78,1392.61,6101102.45,1392.61
HAIR,0.0,875.96,856.95,437.98,135436152.18,437.98
MUGZ,0.0,5159.08,5047.12,2579.54,26181507.61,2579.54
